Date,Open,High,Low,Close,Volume
2021-05-03 - 15h,332,332,332,332,332
2021-05-03 - 16h,296,296,296,296,296
2021-05-03 - 17h,302,302,302,302,302
2021-05-03 - 18h,336,336,336,336,336
2021-05-03 - 19h,347,347,347,347,347
2021-05-03 - 20h,328,328,328,328,328
2021-05-03 - 21h,271,271,271,271,271
2021-05-03 - 22h,221,221,221,221,221
2021-05-03 - 23h,83,83,83,83,83
2021-05-04 - 0h,152,152,152,152,152
2021-05-04 - 1h,137,137,137,137,137
2021-05-04 - 2h,127,127,127,127,127
2021-05-04 - 3h,121,121,121,121,121
2021-05-04 - 4h,107,107,107,107,107
2021-05-04 - 5h,133,133,133,133,133
2021-05-04 - 6h,166,166,166,166,166
2021-05-04 - 7h,223,223,223,223,223
2021-05-04 - 8h,266,266,266,266,266
2021-05-04 - 9h,269,269,269,269,269
2021-05-04 - 10h,314,314,314,314,314
2021-05-04 - 11h,355,355,355,355,355
2021-05-04 - 12h,369,369,369,369,369
2021-05-04 - 13h,361,361,361,361,361
2021-05-04 - 14h,347,347,347,347,347
2021-05-04 - 15h,330,330,330,330,330
2021-05-04 - 16h,332,332,332,332,332
2021-05-04 - 17h,397,397,397,397,397
2021-05-04 - 18h,417,417,417,417,417
2021-05-04 - 19h,505,505,505,505,505
2021-05-04 - 20h,376,376,376,376,376
2021-05-04 - 21h,378,378,378,378,378
2021-05-04 - 22h,326,326,326,326,326
2021-05-04 - 23h,99,99,99,99,99
2021-05-05 - 0h,217,217,217,217,217
2021-05-05 - 1h,173,173,173,173,173
2021-05-05 - 2h,156,156,156,156,156
2021-05-05 - 3h,144,144,144,144,144
2021-05-05 - 4h,128,128,128,128,128
2021-05-05 - 5h,174,174,174,174,174
2021-05-05 - 6h,168,168,168,168,168
2021-05-05 - 7h,241,241,241,241,241
2021-05-05 - 8h,313,313,313,313,313
2021-05-05 - 9h,303,303,303,303,303
2021-05-05 - 10h,403,403,403,403,403
2021-05-05 - 11h,349,349,349,349,349
2021-05-05 - 12h,346,346,346,346,346
