2021/04/01 - 15:30;280
2021/04/01 - 15:35;290
2021/04/01 - 15:40;281
2021/04/01 - 15:45;295
2021/04/01 - 15:50;194
2021/04/01 - 15:55;270
2021/04/01 - 16:00;256
2021/04/01 - 16:05;225
2021/04/01 - 16:10;278
2021/04/01 - 16:15;260
2021/04/01 - 16:20;230
2021/04/01 - 16:25;243
2021/04/01 - 16:30;277
2021/04/01 - 16:35;336
2021/04/01 - 16:40;324
2021/04/01 - 16:45;305
2021/04/01 - 16:50;270
2021/04/01 - 16:55;276
2021/04/01 - 17:00;230
2021/04/01 - 17:05;294
2021/04/01 - 17:10;256
2021/04/01 - 17:15;253
2021/04/01 - 17:20;304
2021/04/01 - 17:25;307
2021/04/01 - 17:30;293
2021/04/01 - 17:35;265
2021/04/01 - 17:40;231
2021/04/01 - 17:45;326
2021/04/01 - 17:50;258
2021/04/01 - 17:55;250
2021/04/01 - 18:00;275
2021/04/01 - 18:05;324
2021/04/01 - 18:10;273
2021/04/01 - 18:15;318
2021/04/01 - 18:20;268
2021/04/01 - 18:25;316
2021/04/01 - 18:30;289
2021/04/01 - 18:35;294
2021/04/01 - 18:40;240
2021/04/01 - 18:45;247
2021/04/01 - 18:50;273
2021/04/01 - 18:55;273
2021/04/01 - 19:00;277
2021/04/01 - 19:05;285
2021/04/01 - 19:10;256
2021/04/01 - 19:15;266
2021/04/01 - 19:20;280
2021/04/01 - 19:25;294
2021/04/01 - 19:30;272
2021/04/01 - 19:35;262
2021/04/01 - 19:40;230
2021/04/01 - 19:45;276
2021/04/01 - 19:50;249
2021/04/01 - 19:55;251
2021/04/01 - 20:00;302
2021/04/01 - 20:05;293
2021/04/01 - 20:10;286
2021/04/01 - 20:15;240
2021/04/01 - 20:20;242
2021/04/01 - 20:25;247
2021/04/01 - 20:30;266
2021/04/01 - 20:35;277
2021/04/01 - 20:40;237
2021/04/01 - 20:45;249
2021/04/01 - 20:50;236
2021/04/01 - 20:55;245
2021/04/01 - 21:00;225
2021/04/01 - 21:05;241
2021/04/01 - 21:10;242
2021/04/01 - 21:15;300
2021/04/01 - 21:20;219
2021/04/01 - 21:25;217
2021/04/01 - 21:30;280
2021/04/01 - 21:35;290
2021/04/01 - 21:40;243
2021/04/01 - 21:45;278
2021/04/01 - 21:50;190
2021/04/01 - 21:55;241
2021/04/01 - 22:00;219
2021/04/01 - 22:05;216
2021/04/01 - 22:10;209
2021/04/01 - 22:15;226
2021/04/01 - 22:20;225
2021/04/01 - 22:25;232
2021/04/01 - 22:30;213
2021/04/01 - 22:35;211
2021/04/01 - 22:40;207
2021/04/01 - 22:45;216
2021/04/01 - 22:50;141
2021/04/01 - 22:55;188
2021/04/01 - 23:00;191
2021/04/01 - 23:05;183
2021/04/01 - 23:10;185
2021/04/01 - 23:15;178
2021/04/01 - 23:20;191
2021/04/01 - 23:25;182
2021/04/01 - 23:30;166
2021/04/01 - 23:35;145
2021/04/01 - 23:40;63
2021/04/01 - 23:45;50
2021/04/01 - 23:50;48
2021/04/01 - 23:55;58
2021/04/02 - 00:00;188
2021/04/02 - 00:05;160
2021/04/02 - 00:10;151
2021/04/02 - 00:15;161
2021/04/02 - 00:20;164
2021/04/02 - 00:25;119
2021/04/02 - 00:30;144
2021/04/02 - 00:35;147
2021/04/02 - 00:40;114
2021/04/02 - 00:45;140
2021/04/02 - 00:50;101
2021/04/02 - 00:55;117
2021/04/02 - 01:00;108
2021/04/02 - 01:05;121
2021/04/02 - 01:10;137
2021/04/02 - 01:15;108
2021/04/02 - 01:20;103
2021/04/02 - 01:25;117
2021/04/02 - 01:30;107
2021/04/02 - 01:35;133
2021/04/02 - 01:40;92
2021/04/02 - 01:45;154
2021/04/02 - 01:50;97
2021/04/02 - 01:55;106
2021/04/02 - 02:00;122
2021/04/02 - 02:05;155
2021/04/02 - 02:10;120
2021/04/02 - 02:15;98
2021/04/02 - 02:20;106
2021/04/02 - 02:25;139
2021/04/02 - 02:30;105
2021/04/02 - 02:35;120
2021/04/02 - 02:40;139
2021/04/02 - 02:45;195
2021/04/02 - 02:50;106
2021/04/02 - 02:55;94
2021/04/02 - 03:00;89
2021/04/02 - 03:05;111
2021/04/02 - 03:10;102
2021/04/02 - 03:15;79
2021/04/02 - 03:20;80
2021/04/02 - 03:25;106
2021/04/02 - 03:30;102
2021/04/02 - 03:35;109
2021/04/02 - 03:40;87
2021/04/02 - 03:45;119
2021/04/02 - 03:50;67
2021/04/02 - 03:55;97
2021/04/02 - 04:00;92
2021/04/02 - 04:05;89
2021/04/02 - 04:10;120
2021/04/02 - 04:15;91
2021/04/02 - 04:20;92
2021/04/02 - 04:25;108
2021/04/02 - 04:30;92
2021/04/02 - 04:35;102
2021/04/02 - 04:40;92
2021/04/02 - 04:45;108
2021/04/02 - 04:50;63
2021/04/02 - 04:55;69
2021/04/02 - 05:00;89
2021/04/02 - 05:05;99
2021/04/02 - 05:10;99
2021/04/02 - 05:15;120
2021/04/02 - 05:20;76
2021/04/02 - 05:25;140
2021/04/02 - 05:30;121
2021/04/02 - 05:35;119
2021/04/02 - 05:40;99
2021/04/02 - 05:45;136
2021/04/02 - 05:50;106
2021/04/02 - 05:55;91
2021/04/02 - 06:00;110
2021/04/02 - 06:05;111
2021/04/02 - 06:10;101
2021/04/02 - 06:15;124
2021/04/02 - 06:20;115
2021/04/02 - 06:25;126
2021/04/02 - 06:30;107
2021/04/02 - 06:35;116
2021/04/02 - 06:40;119
2021/04/02 - 06:45;127
2021/04/02 - 06:50;117
2021/04/02 - 06:55;114
2021/04/02 - 07:00;120
2021/04/02 - 07:05;146
2021/04/02 - 07:10;155
2021/04/02 - 07:15;155
2021/04/02 - 07:20;156
2021/04/02 - 07:25;150
2021/04/02 - 07:30;166
2021/04/02 - 07:35;140
2021/04/02 - 07:40;131
2021/04/02 - 07:45;172
2021/04/02 - 07:50;143
2021/04/02 - 07:55;133
2021/04/02 - 08:00;116
2021/04/02 - 08:05;149
2021/04/02 - 08:10;145
2021/04/02 - 08:15;144
2021/04/02 - 08:20;134
2021/04/02 - 08:25;170
2021/04/02 - 08:30;171
2021/04/02 - 08:35;180
2021/04/02 - 08:40;157
2021/04/02 - 08:45;172
2021/04/02 - 08:50;152
2021/04/02 - 08:55;160
2021/04/02 - 09:00;208
2021/04/02 - 09:05;181
2021/04/02 - 09:10;209
2021/04/02 - 09:15;213
2021/04/02 - 09:20;198
2021/04/02 - 09:25;242
2021/04/02 - 09:30;200
2021/04/02 - 09:35;204
2021/04/02 - 09:40;215
2021/04/02 - 09:45;203
2021/04/02 - 09:50;229
2021/04/02 - 09:55;190
2021/04/02 - 10:00;231
2021/04/02 - 10:05;232
2021/04/02 - 10:10;225
2021/04/02 - 10:15;233
2021/04/02 - 10:20;253
2021/04/02 - 10:25;257
2021/04/02 - 10:30;205
2021/04/02 - 10:35;262
2021/04/02 - 10:40;208
2021/04/02 - 10:45;205
2021/04/02 - 10:50;192
2021/04/02 - 10:55;203
2021/04/02 - 11:00;172
2021/04/02 - 11:05;236
2021/04/02 - 11:10;222
2021/04/02 - 11:15;227
2021/04/02 - 11:20;184
2021/04/02 - 11:25;240
2021/04/02 - 11:30;244
2021/04/02 - 11:35;240
2021/04/02 - 11:40;212
2021/04/02 - 11:45;238
2021/04/02 - 11:50;235
2021/04/02 - 11:55;233
2021/04/02 - 12:00;205
2021/04/02 - 12:05;210
2021/04/02 - 12:10;224
2021/04/02 - 12:15;214
2021/04/02 - 12:20;234
2021/04/02 - 12:25;216
2021/04/02 - 12:30;282
2021/04/02 - 12:35;303
2021/04/02 - 12:40;255
2021/04/02 - 12:45;222
2021/04/02 - 12:50;263
2021/04/02 - 12:55;237
2021/04/02 - 13:00;316
2021/04/02 - 13:05;268
2021/04/02 - 13:10;246
2021/04/02 - 13:15;209
2021/04/02 - 13:20;231
2021/04/02 - 13:25;269
2021/04/02 - 13:30;232
2021/04/02 - 13:35;238
2021/04/02 - 13:40;283
2021/04/02 - 13:45;244
2021/04/02 - 13:50;251
2021/04/02 - 13:55;257
2021/04/02 - 14:00;249
2021/04/02 - 14:05;224
2021/04/02 - 14:10;293
2021/04/02 - 14:15;235
2021/04/02 - 14:20;221
2021/04/02 - 14:25;236
2021/04/02 - 14:30;277
2021/04/02 - 14:35;234
2021/04/02 - 14:40;221
2021/04/02 - 14:45;237
2021/04/02 - 14:50;238
2021/04/02 - 14:55;213
2021/04/02 - 15:00;238
2021/04/02 - 15:05;241
2021/04/02 - 15:10;212
2021/04/02 - 15:15;196
2021/04/02 - 15:20;222
2021/04/02 - 15:25;293
2021/04/02 - 15:30;222
2021/04/02 - 15:35;196
2021/04/02 - 15:40;254
2021/04/02 - 15:45;204
2021/04/02 - 15:50;194
2021/04/02 - 15:55;222
2021/04/02 - 16:00;202
2021/04/02 - 16:05;203
2021/04/02 - 16:10;222
2021/04/02 - 16:15;194
2021/04/02 - 16:20;210
2021/04/02 - 16:25;251
2021/04/02 - 16:30;242
2021/04/02 - 16:35;175
2021/04/02 - 16:40;246
2021/04/02 - 16:45;219
2021/04/02 - 16:50;192
2021/04/02 - 16:55;202
2021/04/02 - 17:00;211
2021/04/02 - 17:05;182
2021/04/02 - 17:10;216
2021/04/02 - 17:15;221
2021/04/02 - 17:20;205
2021/04/02 - 17:25;283
2021/04/02 - 17:30;203
2021/04/02 - 17:35;219
2021/04/02 - 17:40;228
2021/04/02 - 17:45;216
2021/04/02 - 17:50;254
2021/04/02 - 17:55;256
2021/04/02 - 18:00;267
2021/04/02 - 18:05;231
2021/04/02 - 18:10;172
2021/04/02 - 18:15;246
2021/04/02 - 18:20;216
2021/04/02 - 18:25;246
2021/04/02 - 18:30;188
2021/04/02 - 18:35;214
2021/04/02 - 18:40;239
2021/04/02 - 18:45;242
2021/04/02 - 18:50;258
2021/04/02 - 18:55;245
2021/04/02 - 19:00;240
2021/04/02 - 19:05;259
2021/04/02 - 19:10;216
2021/04/02 - 19:15;260
2021/04/02 - 19:20;279
2021/04/02 - 19:25;276
2021/04/02 - 19:30;158
2021/04/02 - 19:35;196
2021/04/02 - 19:40;216
2021/04/02 - 19:45;242
2021/04/02 - 19:50;244
2021/04/02 - 19:55;265
2021/04/02 - 20:00;210
2021/04/02 - 20:05;290
2021/04/02 - 20:10;243
2021/04/02 - 20:15;248
2021/04/02 - 20:20;262
2021/04/02 - 20:25;270
2021/04/02 - 20:30;223
2021/04/02 - 20:35;200
2021/04/02 - 20:40;233
2021/04/02 - 20:45;225
2021/04/02 - 20:50;221
2021/04/02 - 20:55;215
2021/04/02 - 21:00;200
2021/04/02 - 21:05;289
2021/04/02 - 21:10;245
2021/04/02 - 21:15;218
2021/04/02 - 21:20;228
2021/04/02 - 21:25;228
2021/04/02 - 21:30;204
2021/04/02 - 21:35;159
2021/04/02 - 21:40;207
2021/04/02 - 21:45;191
2021/04/02 - 21:50;198
2021/04/02 - 21:55;181
2021/04/02 - 22:00;192
2021/04/02 - 22:05;249
2021/04/02 - 22:10;184
2021/04/02 - 22:15;244
2021/04/02 - 22:20;190
2021/04/02 - 22:25;230
2021/04/02 - 22:30;188
2021/04/02 - 22:35;190
2021/04/02 - 22:40;161
2021/04/02 - 22:45;149
2021/04/02 - 22:50;60
2021/04/02 - 22:55;102
2021/04/02 - 23:00;92
